"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Feb.20, 2024"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A4101","","A410101","","A410102","","A4103",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A4101_Number of live births[person]","Annotation","A410101_Number of live births (Male)[person]","Annotation","A410102_Number of live births (Female)[person]","Annotation","A4103_Total fertility rate[-]","Annotation"
"2019100000","2019","40000","Fukuoka-ken","","39,754","","20,343","","19,411","","1.44",""
"2019100000","2019","41000","Saga-ken","","6,231","","3,234","","2,997","","1.64",""
"2019100000","2019","42000","Nagasaki-ken","","9,585","","4,914","","4,671","","1.66",""
"2019100000","2019","43000","Kumamoto-ken","","13,305","","6,891","","6,414","","1.60",""
"2019100000","2019","44000","Oita-ken","","7,624","","3,923","","3,701","","1.53",""
"2019100000","2019","45000","Miyazaki-ken","","8,043","","4,141","","3,902","","1.73",""
"2019100000","2019","46000","Kagoshima-ken","","11,977","","6,032","","5,945","","1.63",""
"2019100000","2019","47000","Okinawa-ken","","14,902","","7,661","","7,241","","1.82",""
"2018100000","2018","00000","All Japan","","918,400","","470,851","","447,549","","1.42",""
"2018100000","2018","01000","Hokkaido","","32,642","","16,681","","15,961","","1.27",""
"2018100000","2018","02000","Aomori-ken","","7,803","","3,980","","3,823","","1.43",""
"2018100000","2018","03000","Iwate-ken","","7,615","","3,853","","3,762","","1.41",""
"2018100000","2018","04000","Miyagi-ken","","16,211","","8,251","","7,960","","1.30",""
"2018100000","2018","05000","Akita-ken","","5,040","","2,545","","2,495","","1.33",""
"2018100000","2018","06000","Yamagata-ken","","6,973","","3,579","","3,394","","1.48",""
"2018100000","2018","07000","Fukushima-ken","","12,495","","6,331","","6,164","","1.53",""
"2018100000","2018","08000","Ibaraki-ken","","19,368","","9,879","","9,489","","1.44",""
"2018100000","2018","09000","Tochigi-ken","","13,495","","7,010","","6,485","","1.44",""
"2018100000","2018","10000","Gumma-ken","","12,922","","6,665","","6,257","","1.47",""
"2018100000","2018","11000","Saitama-ken","","51,241","","26,296","","24,945","","1.34",""
"2018100000","2018","12000","Chiba-ken","","43,404","","22,307","","21,097","","1.34",""
"2018100000","2018","13000","Tokyo-to","","107,150","","55,052","","52,098","","1.20",""
"2018100000","2018","14000","Kanagawa-ken","","66,564","","34,335","","32,229","","1.33",""
"2018100000","2018","15000","Niigata-ken","","14,509","","7,419","","7,090","","1.41",""
"2018100000","2018","16000","Toyama-ken","","6,846","","3,551","","3,295","","1.52",""
"2018100000","2018","17000","Ishikawa-ken","","8,359","","4,325","","4,034","","1.54",""
"2018100000","2018","18000","Fukui-ken","","5,826","","2,991","","2,835","","1.67",""
"2018100000","2018","19000","Yamanashi-ken","","5,556","","2,821","","2,735","","1.53",""
"2018100000","2018","20000","Nagano-ken","","14,184","","7,281","","6,903","","1.57",""
"2018100000","2018","21000","Gifu-ken","","13,720","","7,048","","6,672","","1.52",""
"2018100000","2018","22000","Shizuoka-ken","","25,192","","12,865","","12,327","","1.50",""
"2018100000","2018","23000","Aichi-ken","","61,230","","31,259","","29,971","","1.54",""
"2018100000","2018","24000","Mie-ken","","12,582","","6,404","","6,178","","1.54",""
"2018100000","2018","25000","Shiga-ken","","11,350","","5,854","","5,496","","1.55",""
"2018100000","2018","26000","Kyoto-fu","","17,909","","9,188","","8,721","","1.29",""
"2018100000","2018","27000","Osaka-fu","","65,446","","33,597","","31,849","","1.35",""
