YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
2016100000,2016,13000,Tokyo-to,"13,646,000","6,728,000","6,918,000",11.3,65.8,22.9,"113,415","59,824","53,591"
2016100000,2016,26000,Kyoto-fu,"2,608,000","1,247,000","1,361,000",12,59.9,28.1,"25,830","13,117","12,713"
2016100000,2016,27000,Osaka-fu,"8,841,000","4,254,000","4,588,000",12.3,60.9,26.8,"84,391","45,092","39,299"
2016100000,2016,34000,Hiroshima-ken,"2,840,000","1,376,000","1,464,000",13.1,58.7,28.2,"29,994","15,027","14,967"
2016100000,2016,47000,Okinawa-ken,"1,442,000","709,000","733,000",17.2,62.4,20.4,"11,706","6,300","5,406"
2015100000,2015,0,All Japan,"127,094,745","61,841,738","65,253,007",12.6,60.7,26.6,"1,290,510","666,728","623,782"
2015100000,2015,1000,Hokkaido,"5,381,733","2,537,089","2,844,644",11.4,59.6,29.1,"60,667","31,391","29,276"
2015100000,2015,12000,Chiba-ken,"6,222,666","3,095,860","3,126,806",12.4,61.7,25.9,"56,080","30,309","25,771"
2015100000,2015,13000,Tokyo-to,"13,515,271","6,666,690","6,848,581",11.5,65.9,22.7,"111,673","59,164","52,509"
2015100000,2015,26000,Kyoto-fu,"2,610,353","1,248,972","1,361,381",12.3,60.2,27.5,"25,495","12,905","12,590"
2015100000,2015,27000,Osaka-fu,"8,839,469","4,256,049","4,583,420",12.5,61.3,26.1,"83,577","44,779","38,798"
2015100000,2015,34000,Hiroshima-ken,"2,843,990","1,376,211","1,467,779",13.4,59.1,27.5,"29,880","15,022","14,858"
2015100000,2015,47000,Okinawa-ken,"1,433,566","704,619","728,947",17.4,62.9,19.6,"11,326","5,992","5,334"
2014100000,2014,0,All Japan,"127,237,000","61,901,000","65,336,000",12.8,61.3,26,"1,273,025","660,340","612,685"
2014100000,2014,1000,Hokkaido,"5,410,000","2,551,000","2,859,000",11.5,60.4,28.1,"60,019","31,333","28,686"
2014100000,2014,12000,Chiba-ken,"6,209,000","3,089,000","3,119,000",12.6,62.1,25.3,"53,978","28,945","25,033"
2014100000,2014,13000,Tokyo-to,"13,399,000","6,612,000","6,788,000",11.3,66.2,22.5,"111,024","58,865","52,159"
2014100000,2014,26000,Kyoto-fu,"2,616,000","1,252,000","1,363,000",12.4,60.8,26.9,"25,507","12,872","12,635"
2014100000,2014,27000,Osaka-fu,"8,845,000","4,262,000","4,583,000",12.7,61.6,25.7,"81,653","43,783","37,870"
2014100000,2014,34000,Hiroshima-ken,"2,846,000","1,376,000","1,471,000",13.3,59.5,27.1,"29,463","14,898","14,565"
2014100000,2014,47000,Okinawa-ken,"1,426,000","700,000","725,000",17.5,63.5,19,"11,362","6,052","5,310"
2013100000,2013,0,All Japan,"127,414,000","61,985,000","65,429,000",12.9,62.1,25.1,"1,268,438","658,685","609,753"
2013100000,2013,1000,Hokkaido,"5,438,000","2,565,000","2,873,000",11.6,61.4,27,"59,432","30,976","28,456"
2013100000,2013,12000,Chiba-ken,"6,201,000","3,085,000","3,116,000",12.7,63,24.3,"53,603","29,062","24,541"
2013100000,2013,13000,Tokyo-to,"13,307,000","6,569,000","6,738,000",11.3,66.8,21.9,"110,507","58,810","51,697"
2013100000,2013,26000,Kyoto-fu,"2,622,000","1,256,000","1,366,000",12.5,61.7,25.8,"25,332","12,822","12,510"
2013100000,2013,27000,Osaka-fu,"8,856,000","4,271,000","4,585,000",12.9,62.5,24.7,"81,864","43,932","37,932"
2013100000,2013,34000,Hiroshima-ken,"2,850,000","1,376,000","1,473,000",13.4,60.4,26.2,"29,358","14,977","14,381"
2013100000,2013,47000,Okinawa-ken,"1,419,000","697,000","722,000",17.6,64,18.4,"10,956","5,769","5,187"
2012100000,2012,0,All Japan,"127,593,000","62,080,000","65,513,000",13,62.9,24.1,"1,256,359","655,526","600,833"
2012100000,2012,1000,Hokkaido,"5,465,000","2,580,000","2,886,000",11.7,62.2,26,"58,066","30,834","27,232"
2012100000,2012,12000,Chiba-ken,"6,200,000","3,087,000","3,113,000",12.8,64,23.2,"53,206","28,934","24,272"
2012100000,2012,13000,Tokyo-to,"13,234,000","6,538,000","6,697,000",11.3,67.5,21.3,"109,194","58,203","50,991"
2012100000,2012,26000,Kyoto-fu,"2,628,000","1,260,000","1,368,000",12.6,62.7,24.7,"25,416","12,828","12,588"
2012100000,2012,27000,Osaka-fu,"8,861,000","4,277,000","4,584,000",13,63.3,23.7,"80,472","43,006","37,466"
2012100000,2012,34000,Hiroshima-ken,"2,855,000","1,379,000","1,476,000",13.5,61.3,25.3,"29,273","15,008","14,265"
2012100000,2012,47000,Okinawa-ken,"1,411,000","693,000","719,000",17.6,64.6,17.7,"10,626","5,637","4,989"
2011100000,2011,0,All Japan,"127,834,000","62,207,000","65,627,000",13.1,63.6,23.3,"1,253,068","656,542","596,526"
2011100000,2011,1000,Hokkaido,"5,488,000","2,593,000","2,896,000",11.8,63,25.2,"56,970","30,295","26,675"
2011100000,2011,12000,Chiba-ken,"6,217,000","3,097,000","3,120,000",12.9,65.1,22,"51,689","28,008","23,681"
2011100000,2011,13000,Tokyo-to,"13,198,000","6,524,000","6,674,000",11.3,68.1,20.6,"105,723","56,613","49,110"
2011100000,2011,26000,Kyoto-fu,"2,633,000","1,263,000","1,370,000",12.7,63.6,23.7,"24,733","12,540","12,193"
